name,code,category,brand,Barcode symbol,product cost,product price,product unit,sale unit,purchase unit,stock alert,order tax Percentage,tax type,Notes,Warehouse,supplier,quantity,status,image
French Door Refrigerator 500L,80000001,Kitchen Appliances,Samsung,CODE128,800,1299,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Samsung kitchen appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1571175432247-fe062a4d3f3f?w=600
InstaView Door-in-Door Refrigerator,80000002,Kitchen Appliances,LG,CODE128,1200,1999,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium LG kitchen appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1571175432247-fe062a4d3f3f?w=600
Double Door Refrigerator 350L,80000003,Kitchen Appliances,Whirlpool,CODE128,450,699,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Whirlpool kitchen appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1571175432247-fe062a4d3f3f?w=600
Single Door Refrigerator 190L,80000004,Kitchen Appliances,Haier,CODE128,200,320,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Haier kitchen appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1571175432247-fe062a4d3f3f?w=600
Front Load Washing Machine 8kg,80000005,Laundry Appliances,Bosch,CODE128,500,799,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Bosch laundry appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1582738411706-bfc8e691d1c2?w=600
Top Load Washing Machine 7kg,80000006,Laundry Appliances,Samsung,CODE128,300,499,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Samsung laundry appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1582738411706-bfc8e691d1c2?w=600
Smart Inverter Washing Machine 9kg,80000007,Laundry Appliances,LG,CODE128,450,720,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium LG laundry appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1582738411706-bfc8e691d1c2?w=600
Convection Microwave Oven 28L,80000008,Kitchen Appliances,Samsung,CODE128,120,199,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Samsung kitchen appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1574269909862-7e1d70bb8078?w=600
Solo Microwave Oven 20L,80000009,Kitchen Appliances,Panasonic,CODE128,70,110,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Panasonic kitchen appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1574269909862-7e1d70bb8078?w=600
Grill Microwave Oven 23L,80000010,Kitchen Appliances,LG,CODE128,95,150,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium LG kitchen appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1574269909862-7e1d70bb8078?w=600
Split Air Conditioner 1.5 Ton,80000011,Home Comfort,Daikin,CODE128,400,650,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Daikin home comfort with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?w=600
Inverter Split AC 1 Ton,80000012,Home Comfort,Panasonic,CODE128,350,580,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Panasonic home comfort with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?w=600
Window AC 1.5 Ton,80000013,Home Comfort,Voltas,CODE128,280,420,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Voltas home comfort with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?w=600
Cyclone V10 Cordless Vacuum,80000014,Cleaning Appliances,Dyson,CODE128,350,549,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Dyson cleaning appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1558317374-067fb5f30001?w=600
Robotic Vacuum Cleaner RoboVac,80000015,Cleaning Appliances,Eufy,CODE128,180,299,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Eufy cleaning appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1558317374-067fb5f30001?w=600
Canister Vacuum Cleaner 2000W,80000016,Cleaning Appliances,Philips,CODE128,90,149,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium Philips cleaning appliances with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1558317374-067fb5f30001?w=600
OLED 4K Smart TV 55 Inch,80000017,Entertainment,LG,CODE128,900,1499,Piece,Piece,Piece,5,18,EXCLUSIVE,Premium LG entertainment with manufacturer warranty.,warehouse,demo supplier,100,received,https://images.unsplash.com/photo-1593305841991-05c297ba4575?w=600
